Date,MSFT,AAPL,AMZN,SP 500
3/5/12,31.8,19.04,180.26,136.75
3/6/12,31.56,18.94,181.09,134.75
3/7/12,31.84,18.95,183.77,135.69
3/8/12,32.01,19.36,187.64,137.04
3/9/12,31.99,19.47,184.32,137.57
3/12/12,32.04,19.71,183.39,137.58
3/13/12,32.67,20.29,184.59,140.06
3/14/12,32.77,21.06,182.26,139.91
3/15/12,32.85,20.91,184.43,140.72
3/16/12,32.6,20.91,185.05,140.3
3/19/12,32.2,21.47,185.52,140.85
3/20/12,31.99,21.64,192.33,140.44
3/21/12,31.91,21.52,191.73,140.21
3/22/12,32,21.41,192.4,139.2
3/23/12,32.01,21.29,195.04,139.65
3/26/12,32.59,21.68,202.87,141.61
3/27/12,32.52,21.95,205.44,141.17
3/28/12,32.19,22.06,201.16,140.47
3/29/12,32.12,21.78,204.61,140.23
3/30/12,32.26,21.41,202.51,140.81
4/2/12,32.29,22.09,198.05,141.84
4/3/12,31.94,22.48,199.66,141.26
4/4/12,31.21,22.3,193.99,139.86
4/5/12,31.52,22.63,194.39,139.79
4/9/12,31.1,22.72,191.87,138.22
4/10/12,30.47,22.44,186.98,135.9
4/11/12,30.35,22.36,187.97,137
4/12/12,30.98,22.24,190.69,138.79
4/13/12,30.81,21.62,188.46,137.14
4/16/12,31.08,20.72,185.5,137.05
4/17/12,31.44,21.78,188.39,139.08
4/18/12,31.14,21.73,191.07,138.61
4/19/12,31.01,20.98,191.1,137.72
4/20/12,32.42,20.46,189.98,137.95
4/23/12,32.12,20.42,188.24,136.79
4/24/12,31.92,20.01,190.33,137.31
4/25/12,32.2,21.79,194.42,139.19
4/26/12,32.11,21.7,195.99,140.16
4/27/12,31.98,21.54,226.85,140.39
4/30/12,32.02,20.86,231.9,139.87
5/1/12,32.01,20.79,230.04,140.74
5/2/12,31.8,20.93,230.25,140.32
5/3/12,31.76,20.78,229.45,139.25
5/4/12,30.98,20.19,223.99,137
5/7/12,30.65,20.34,225.16,137.1
5/8/12,30.5,20.29,223.9,136.55
5/9/12,30.76,20.33,222.98,135.74
5/10/12,30.74,20.38,226.69,136.02
5/11/12,31.16,20.24,227.68,135.61
5/14/12,30.68,19.94,222.93,134.11
5/15/12,30.21,19.76,224.39,133.34
5/16/12,29.9,19.5,224.06,132.83
5/17/12,29.72,18.93,218.36,130.86
5/18/12,29.27,18.94,213.85,129.74
5/21/12,29.75,20.05,218.11,131.97
5/22/12,29.76,19.89,215.33,132.2
5/23/12,29.11,20.38,217.28,132.27
5/24/12,29.07,20.19,215.24,132.53
5/25/12,29.06,20.08,212.89,132.1
5/29/12,29.56,20.44,214.75,133.7
5/30/12,29.34,20.68,209.23,131.76
5/31/12,29.19,20.63,212.91,131.47
6/1/12,28.45,20.04,208.22,128.16
6/4/12,28.55,20.15,214.57,128.1
6/5/12,28.51,20.1,213.21,129.07
6/6/12,29.35,20.41,217.64,131.97
6/7/12,29.23,20.42,218.8,132.05
6/8/12,29.65,20.73,218.48,133.1
6/11/12,28.9,20.4,216.5,131.41
6/12/12,29.29,20.58,216.42,132.92
6/13/12,29.13,20.43,214.73,132.07
6/14/12,29.34,20.41,214.45,133.47
6/15/12,30.02,20.5,218.35,134.14
6/18/12,29.84,20.92,222.66,134.4
6/19/12,30.7,20.98,224.03,135.7
6/20/12,30.93,20.92,223.02,135.48
6/21/12,30.14,20.63,220.58,132.44
6/22/12,30.7,20.79,222.16,133.46
6/25/12,29.87,20.38,220.07,131.32
6/26/12,30.02,20.43,225.61,131.98
6/27/12,30.17,20.52,225.62,133.17
6/28/12,29.91,20.32,221.31,132.79
6/29/12,30.59,20.86,228.35,136.1
7/2/12,30.56,21.16,229.32,136.51
7/3/12,30.76,21.41,229.53,137.41
7/5/12,30.7,21.78,227.06,136.79
7/6/12,30.19,21.64,225.05,135.49
7/9/12,30,21.92,225.05,135.32
7/10/12,29.74,21.72,219.5,134.14
7/11/12,29.3,21.59,218.37,134.16
7/12/12,28.63,21.39,215.36,133.51
7/13/12,29.39,21.61,218.39,135.75
7/16/12,29.44,21.68,216.01,135.43
7/17/12,29.66,21.68,216.93,136.36
7/18/12,30.45,21.65,217.47,137.37
7/19/12,30.67,21.94,226.17,137.73
7/20/12,30.12,21.58,228.29,136.47
7/23/12,29.28,21.57,226.01,135.09
7/24/12,29.15,21.46,223.04,133.93
7/25/12,28.83,20.53,217.05,133.96
7/26/12,29.16,20.53,220.01,136.17
7/27/12,29.76,20.9,237.32,138.68
7/30/12,29.64,21.25,236.09,138.68
7/31/12,29.47,21.81,233.3,137.71
8/1/12,29.41,21.67,232.09,137.59
8/2/12,29.19,21.71,230.81,136.64
8/3/12,29.75,21.99,234.97,139.35
8/6/12,29.95,22.23,233.99,139.62
8/7/12,30.26,22.18,236.56,140.32
8/8/12,30.33,22.14,234.38,140.49
8/9/12,30.5,22.17,234.06,140.61
8/10/12,30.42,22.2,232.75,140.84
8/13/12,30.39,22.5,232.44,140.77
8/14/12,30.13,22.56,233.19,140.79
8/15/12,30.2,22.53,237.42,140.95
8/16/12,30.78,22.73,241.55,141.99
8/17/12,30.9,23.15,241.17,142.18
8/20/12,30.74,23.76,240.35,142.19
8/21/12,30.8,23.43,239.45,141.76
8/22/12,30.54,23.89,243.1,141.82
8/23/12,30.26,23.67,241.2,140.66
8/24/12,30.56,23.69,245.74,141.51
8/27/12,30.69,24.13,243.92,141.54
8/28/12,30.63,24.1,246.11,141.4
8/29/12,30.65,24.05,247.12,141.51
8/30/12,30.32,23.71,246.22,140.49
8/31/12,30.82,23.76,248.27,141.16
9/4/12,30.39,24.11,247.88,141.03
9/5/12,30.39,23.94,246.22,140.91
9/6/12,31.35,24.15,251.38,143.77
9/7/12,30.95,24.3,259.14,144.33
9/10/12,30.72,23.67,257.09,143.51
9/11/12,30.79,23.59,255.67,143.91
9/12/12,30.78,23.92,255.63,144.39
9/13/12,30.94,24.39,260.24,146.59
9/14/12,31.21,24.69,261.27,147.24
9/17/12,31.21,24.99,258,146.74
9/18/12,31.18,25.07,258.75,146.62
9/19/12,31.05,25.08,261.68,146.7
9/20/12,31.45,24.95,260.81,146.71
9/21/12,31.19,25,257.47,145.87
9/24/12,30.78,24.67,254.8,145.65
9/25/12,30.39,24.05,252.46,144.1
9/26/12,30.17,23.76,249.67,143.29
9/27/12,30.16,24.33,256.59,144.64
9/28/12,29.76,23.83,254.32,143.97
10/1/12,29.49,23.55,252.01,144.35
10/2/12,29.66,23.62,250.6,144.5
10/3/12,29.86,23.98,255.92,145.09
10/4/12,30.03,23.81,260.47,146.13
10/5/12,29.85,23.31,258.51,146.14
10/8/12,29.78,22.79,259.06,145.64
10/9/12,29.28,22.71,250.96,144.2
10/10/12,28.98,22.89,244.99,143.28
10/11/12,28.95,22.43,244.22,143.36
10/12/12,29.2,22.49,242.36,142.89
10/15/12,29.51,22.67,244.18,144.08
10/16/12,29.49,23.21,243.94,145.54
10/17/12,29.59,23.02,247.49,146.2
10/18/12,29.5,22.59,244.85,145.82
10/19/12,28.64,21.78,240,143.39
10/22/12,28,22.64,233.78,143.41
10/23/12,28.05,21.91,234.31,141.42
10/24/12,27.9,22.03,228.49,141.02
10/25/12,27.88,21.77,222.92,141.43
10/26/12,28.21,21.57,238.24,141.35
10/31/12,28.54,21.26,232.89,141.35
11/1/12,29.52,21.3,232.14,142.83
11/2/12,29.5,20.6,232.42,141.56
11/5/12,29.63,20.88,234.33,141.85
11/6/12,29.86,20.82,237.56,142.96
11/7/12,29.08,19.93,232.06,139.72
11/8/12,28.81,19.21,227.35,138.04
11/9/12,28.83,19.54,226.31,138.16
11/12/12,28.22,19.39,226.47,138.26
11/13/12,27.09,19.39,226.6,137.79
11/14/12,26.84,19.17,222.95,135.93
11/15/12,26.66,18.77,220.6,135.7
11/16/12,26.52,18.85,225.23,136.37
11/19/12,26.73,20.2,229.71,139.13
11/20/12,26.71,20.03,233.78,139.19
11/21/12,26.95,20.06,238.03,139.45
11/23/12,27.7,20.41,239.88,141.35
11/26/12,27.39,21.05,243.62,141.05
